key,value
qji,57985
taw,71309
zac,47449
mkp,72084
ztx,77636
gkv,59984
jgl,31248
als,11831
kjl,05994
ohm,60946
wcd,19008
blc,92000
dsw,25768
owd,25414
sob,83605
dae,04500
xps,74757
ncd,84980
fdh,30988
xhu,13510
gij,21209
izk,36053
crh,52748
hdw,12490
mmn,83922
lph,13922
lcs,99423
csd,57865
coi,17806
rol,81618
oub,99883
gmy,87215
xlp,73478
ovl,80989
qkg,47108
nlr,19099
zec,79865
ckx,25741
vbo,96208
krr,70992
dwa,14941
yem,33374
eui,53824
wgb,73779
osi,26404
bmz,97357
fvm,21605
jmi,62457
uis,60087
jux,05945
ygq,62067
sci,06858
aku,49821
eop,40620
tib,06185
yvk,36483
aic,14475
bnc,65569
qbj,61054
fdt,70818
fcg,66184
mag,20897
bln,35550
oog,50267
fxw,58100
col,20268
dgp,81910
esc,32253
nvd,50323
vom,34995
efi,23695
nck,52144
fit,44451
jxj,83962
qsx,18039
wen,79384
sel,53247
ugv,26647
lmc,81806
wcp,40804
lai,14284
haq,56958
bft,25574
vrx,02134
vdp,43541
zoy,63445
szd,20495
tlh,70028
gim,24309
krq,92336
zkn,18500
jvi,41116
eog,99810
bbz,26489
cpl,81635
ttx,61800
mvg,11785
mcu,91942
dpx,15791
bbc,50385
uea,13050
ddj,38250
xul,27103
mjk,57186
ovy,80782
sgx,00737
wwg,02720
aen,05926
mtd,87731
hqs,50734
jgo,39204
cen,61252
oip,41257
utf,27071
gur,46912
mhq,91603
uiu,67352
dtd,62090
rgq,18812
nyi,22881
nmb,69860
vyd,95611
klx,62155
odk,40898
szn,41499
jaz,35693
oit,93355
gzl,31544
kcg,07854
nur,25751
ife,00173
yln,72879
eik,42811
sxw,18512
hbw,82331
hzw,42942
vnu,15253
cca,37635
gxp,30232
hpe,74645
sub,26680
zdf,06879
vkz,47169
bet,66226
dug,64345
hcp,12962
eml,66045
ofz,40330
tty,41798
eub,04632
lvu,57642
qvy,26170
ocf,59803
oue,09828
ghi,25492
eqc,46939
esx,43155
czj,59336
tba,78095
cxi,91031
nge,90169
trl,47072
glp,04203
bsn,11456
ldj,88324
hsb,16442
fnk,41484
rxd,09971
kpp,96125
ljh,02478
aqx,99485
hsc,23292
gqt,33122
qhz,50081
bjv,31008
wwe,69844
sta,77217
byp,13548
jhy,71213
jew,97632
rag,19713
mwx,50288
jqd,47891
gfu,34751
ctn,66790
woj,44158
jum,88318
fxe,65587
uoo,96674
qfi,03934
mnz,97270
chf,85114
ckz,76663
